"BenSampID","StationID","CollDate","StreamName","Basin","Subecoregion","CollMeth","Location","Sample Season","RepNum","FamTotTaxa","FamEPTTax","%Ephem","%PT - Hydropsychidae","Fam%Scrap","%Chiro","Fam%2Dom","FamHBI","%Ephem Score","%PT-H Score","%Chironomidae Score","Fam Richness Score","Fam EPT Score","Fam %Scraper Score","Fam %2Dom Score","Fam %MFBI Score","Fam SCI","Season","Year","Target_Count","method","limit","EcoregionCode","TotTaxa","HBI","EPTTax","%5Dom","%ClngP-HS","Richness Score","RichnessFinal","HBIScore","HBIFinal","EPT Score","EPTFinal","EPHEM","PT-H","Pct5DOM","PctClng-HS","CPMI63+CHOWAN","%Scrap","%Intoler","PctScrap","PctIntol","CPMI65-CHOWAN","ID","IRYear","CollectorID","Region","EcoRegion","County","AssessmentMethod","Reviewer","SeasonalDifferences","SummaryAssessment","FactorsWatershed","RecentChange","FinalAssessmentRating"
"NTW10823R110","5antw136.52",2018-05-10,"Nottoway R","Chowan","Northern Outer Piedmont (45f)","MACS","Rt 40- SW of Blackstone","Spring 2018",1,17,8,31.82,16.4,20.91,26.36,40.91,4.47,51.91,45.97,73.64,77.27,72.73,40.52,85.39,81.28,66.09,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOC9709R110","8-LOC001.10",2017-03-08,"Locust Creek","York","Northern Outer Piedmont (45f)","MACS","Rt. 608 (Parsons Rd.)","Spring 2017",1,16,8,16.36,1.8,5.45,70.91,77.27,5.59,26.69,5.11,29.09,72.73,72.73,10.57,32.84,64.89,39.33,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAR9920R110","8-SAR034.04",2017-03-09,"South Anna River","York","Northern Outer Piedmont (45f)","MACS","1.01 miles down stream Rt. 617","Spring 2017",1,11,7,4.55,20.9,3.64,7.27,79.09,5.02,7.42,58.73,92.73,50,63.64,7.05,30.22,73.26,47.88,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAR10501R110","8-SAR034.04",2017-09-28,"South Anna River","York","Northern Outer Piedmont (45f)","MACS","1.01 miles down stream Rt. 617","Fall 2017",1,12,7,12.73,46.4,13.64,13.64,60.91,4.23,20.76,100,86.36,54.55,63.64,26.43,56.49,84.89,61.64,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltk9946R110","2DLTK001.56",2017-06-07,"Little Briery Creek","James","Northern Outer Piedmont (45f)","Riffle","west of Watson Rd","Spring 2017",1,13,5,24.55,11.8,22.73,27.27,48.18,4.64,40.04,33.2,72.73,59.09,45.45,44.05,74.88,78.88,56.04,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltk10301R110","2DLTK001.56",2017-11-20,"Little Briery Creek","James","Northern Outer Piedmont (45f)","Riffle","west of Watson Rd","Fall 2017",1,7,2,0,71.8,0.91,18.18,73.64,2.5,0,100,81.82,31.82,18.18,1.76,38.1,100,46.46,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOV10076R110","2-DOV003.55",2017-04-10,"Dover Creek","James","Northern Outer Piedmont (45f)","Riffle","downstream of route 644","Spring 2017",1,10,3,47.27,0,5.45,15.45,64.55,4.94,77.12,0,84.55,45.45,27.27,10.57,51.23,74.47,46.33,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOV10605R110","2-DOV003.55",2017-10-16,"Dover Creek","James","Northern Outer Piedmont (45f)","Riffle","downstream of route 644","Fall 2017",1,14,6,4.55,2.7,9.09,48.18,65.45,5.64,7.42,7.66,51.82,63.64,54.55,17.62,49.92,64.17,39.6,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"snn9991R110","2-SNN001.19",2017-04-19,"North Branch Sandy River","James","Northern Outer Piedmont (45f)","Riffle","rt 621-Grapelawn RD","Spring 2017",1,12,5,47.27,3.6,3.64,10,63.64,4.86,77.12,10.21,90,54.55,45.45,7.05,52.55,75.53,51.56,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"snn10834R110","2-SNN001.19",2018-11-06,"North Branch Sandy River","James","Northern Outer Piedmont (45f)","Riffle","rt 621-Grapelawn RD","Fall 2018",1,14,6,11.82,25.5,13.64,37.27,58.18,4.82,19.28,71.5,62.73,63.64,54.55,26.43,60.43,76.2,54.34,"Fall",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LPP9986R110","4ALPP004.46",2017-05-10,"Little Poplar Creek","Roanoke","Northern Outer Piedmont (45f)","Riffle","Little Poplar @ Dr. Purdy Rd","Spring 2017",1,10,3,7.27,0,8.18,49.09,79.09,5.57,11.86,0,50.91,45.45,27.27,15.86,30.22,65.11,30.83,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"XVO10844R110","4AXVO000.50",2018-04-03,"UT Spencer","Roanoke River","Northern Outer Piedmont (45f)","Riffle","UT Spencer just west of Rte 653","Spring 2018",1,15,8,14.55,12.7,10.91,54.55,61.82,5.05,23.73,35.75,45.45,68.18,72.73,21.14,55.18,72.73,49.36,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"XVO11317R110","4AXVO000.50",2018-10-18,"UT Spencer","Roanoke River","Northern Outer Piedmont (45f)","Riffle","UT Spencer just west of Rte 653","Fall 2018",1,16,8,20.91,7.3,17.27,45.45,60.91,5.18,34.11,20.43,54.55,72.73,72.73,33.47,56.49,70.86,51.92,"Fall",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"XVO11366R110","4AXVO000.50",2018-10-18,"UT Spencer","Roanoke River","Northern Outer Piedmont (45f)","Riffle","UT Spencer just west of Rte 653","Fall 2018",2,17,8,31.82,10.9,26.36,31.82,53.64,4.77,51.91,30.64,68.18,77.27,72.73,51.09,67,76.87,61.96,"Fall",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bhc11019R110","5ABHC006.59",2018-04-12,"Big Hounds Creek","Chowan","Northern Outer Piedmont (45f)","Riffle","above rt 652 upstr of left trib","Spring 2018",1,13,7,21.82,6.4,12.73,50.91,61.82,5.19,35.59,17.88,49.09,59.09,63.64,24.67,55.18,70.7,46.98,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bhc11349R110","5ABHC006.59",2018-12-03,"Big Hounds Creek","Chowan","Northern Outer Piedmont (45f)","Riffle","above rt 652 upstr of left trib","Fall 2018",1,14,9,7.27,68.2,13.64,4.55,70.91,2.3,11.86,100,95.45,63.64,81.82,26.43,42.04,100,65.15,"Fall",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fls10298R110","5AFLS002.23",2017-06-06,"FALLS CREEK","chowan","Northern Outer Piedmont (45f)","Riffle","Rt 652- Marshaltown rd","Spring 2017",1,15,11,17.27,11.8,9.09,40,61.82,5.12,28.18,33.2,60,68.18,100,17.62,55.18,71.79,54.27,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nth10297R110","5ANTH001.12",2017-04-19,"N BR Nottoway r","chowan","Northern Outer Piedmont (45f)","Riffle","rt 624- Barton Rd","Spring 2017",1,10,7,12.73,22.7,3.64,38.18,62.73,4.61,20.76,63.84,61.82,45.45,63.64,7.05,53.86,79.28,49.46,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nth10634R110","5ANTH001.12",2017-11-06,"N BR Nottoway r","chowan","Northern Outer Piedmont (45f)","Riffle","rt 624- Barton Rd","Fall 2017",1,10,7,23.64,37.3,22.73,16.36,50.91,4.28,38.56,100,83.64,45.45,63.64,44.05,70.94,84.09,66.3,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ntw10296R110","5antw158.03",2017-04-19,"Nottoway R","chowan","Northern Outer Piedmont (45f)","Riffle","rt 624- Molassess Hill Rd","Spring 2017",1,16,10,11.82,24.5,10.91,42.73,56.36,4.45,19.28,68.95,57.27,72.73,90.91,21.14,63.06,81.55,59.36,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ntw10506R110","5antw158.03",2017-11-06,"Nottoway R","chowan","Northern Outer Piedmont (45f)","Riffle","rt 624- Molassess Hill Rd","Fall 2017",1,16,7,17.27,40,25.45,9.09,49.09,4.13,28.18,100,90.91,72.73,63.64,49.33,73.57,86.36,70.59,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"snl9992R110","5ASNL001.63",2017-04-19,"Snail Creek","Chowan","Northern Outer Piedmont (45f)","Riffle","rt 713- Corner Rd","Spring 2017",1,12,9,32.73,26.4,4.55,12.73,45.45,4.1,53.39,74.06,87.27,54.55,81.82,8.81,78.82,86.76,65.68,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"snl10635R110","5ASNL001.63",2017-11-06,"Snail Creek","Chowan","Northern Outer Piedmont (45f)","Riffle","rt 713- Corner Rd","Fall 2017",1,15,9,30,49.1,14.55,4.55,49.09,3.55,48.94,100,95.45,68.18,81.82,28.19,73.57,94.92,73.88,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"xiv11020R110","5AXIV000.01",2018-04-12,"UT Big Hounds Creek","Chowan","Northern Outer Piedmont (45f)","Riffle","upstr Rt 652 left trib to BHC","Spring 2018",1,16,9,31.82,11.8,10,35.45,50.91,4.82,51.91,33.2,64.55,72.73,81.82,19.38,70.94,76.2,58.84,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"XIV11374R110","5AXIV000.01",2018-12-06,"UT Big Hounds Creek","Chowan","Northern Outer Piedmont (45f)","Riffle","upstr Rt 652 left trib to BHC","Fall 2018",1,11,7,5.45,43.6,6.36,46.36,81.82,3.75,8.9,100,53.64,50,63.64,12.33,26.27,91.98,50.84,"Fall",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stc9720R110","1ASTC000.72",2017-06-07,"Strait Creek","Potomac River","Northern Sandstone Ridges (67c)","Riffle","Downstream Rt. 220","Spring 2017",1,18,11,20.91,28.2,29.09,14.55,29.09,3.7,34.11,79.16,85.45,81.82,100,56.38,100,92.65,78.7,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stc10263R110","1ASTC000.72",2017-10-25,"Strait Creek","Potomac River","Northern Sandstone Ridges (67c)","Riffle","Downstream Rt. 220","Fall 2017",1,17,11,48.18,18.2,63.64,1.82,50,3.59,78.6,51.07,98.18,77.27,100,100,72.25,94.25,83.95,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stc9721R110","1ASTC004.27",2017-06-07,"Strait Creek","Potomac River","Northern Sandstone Ridges (67c)","Riffle","Upstream of Rt. 629 bridge","Spring 2017",1,16,10,11.82,42.7,17.27,20.91,48.18,3.21,19.28,100,79.09,72.73,90.91,33.47,74.88,99.87,71.28,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stc9722R110","1ASTC004.27",2017-06-07,"Strait Creek","Potomac River","Northern Sandstone Ridges (67c)","Riffle","Upstream of Rt. 629 bridge","Spring 2017",2,15,10,23.64,31.8,21.82,14.55,42.73,3.37,38.56,89.38,85.45,68.18,90.91,42.28,82.76,97.46,74.37,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wsc10264R110","1AWSC003.54",2017-10-25,"West Strait Creek","Potomac River","Northern Sandstone Ridges (67c)","Riffle","Downstream of STP discharge","Fall 2017",1,9,4,1.82,0.9,7.27,29.09,63.64,6.05,2.97,2.55,70.91,40.91,36.36,14.09,52.55,58.02,34.8,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wsc9723R110","1AWSC003.79",2017-06-07,"West Strait C.","Potomac River","Northern Sandstone Ridges (67c)","Riffle","At end of State maintainence","Spring 2017",1,13,5,3.64,1.8,20.91,60,79.09,5.31,5.93,5.11,40,59.09,45.45,40.52,30.22,68.98,36.91,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wsc10265R110","1AWSC003.79",2017-10-25,"West Strait C.","Potomac River","Northern Sandstone Ridges (67c)","Riffle","At end of State maintainence","Fall 2017",1,17,7,9.09,2.7,43.64,14.55,62.73,4.68,14.83,7.66,85.45,77.27,63.64,84.57,53.86,78.21,58.19,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JKS8992R110","2-JKS042.29",2016-08-15,"Jackson River","James","Northern Sandstone Ridges (67c)","Riffle","Jackson River at Sycamore Bend","Fall 2016",1,15,9,18.18,15.5,18.18,5.45,52.73,4.35,29.66,43.41,94.55,68.18,81.82,35.24,68.31,83.16,63.04,"Fall",2016,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JKS9566R110","2-JKS042.29",2017-07-12,"Jackson River","James","Northern Sandstone Ridges (67c)","Riffle","Jackson River at Sycamore Bend","Fall 2017",1,13,7,29.09,20.9,9.09,6.36,53.64,3.89,47.46,58.73,93.64,59.09,63.64,17.62,67,89.84,62.13,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JKS11342R110","2-JKS042.29",2018-08-08,"Jackson River","James","Northern Sandstone Ridges (67c)","Riffle","Jackson River at Sycamore Bend","Fall 2018",1,14,6,20.91,20,19.09,11.82,43.64,4.05,34.11,56.18,88.18,63.64,54.55,37,81.45,87.43,62.82,"Fall",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMH9149R110","2-SMH005.09",2016-04-25,"Smith Creek","James River","Northern Sandstone Ridges (67c)","Riffle","Smith Creek along Rt. 606","Spring 2016",1,19,12,39.09,19.1,30.91,11.82,31.82,3.85,63.77,53.63,88.18,86.36,100,59.9,98.53,90.37,80.09,"Spring",2016,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMH9387R110","2-SMH005.09",2016-11-12,"Smith Creek","James River","Northern Sandstone Ridges (67c)","Riffle","Smith Creek along Rt. 606","Fall 2016",1,18,12,37.27,28.2,30,6.36,40.91,3.59,60.8,79.16,93.64,81.82,100,58.14,85.39,94.26,81.65,"Fall",2016,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BGR11092R110","1BBGR005.15",2018-05-14,"Big Run","Ptomac-Shenandoah","Northern Sedimentary and Metasedimentary Ridges (66b)","Riffle","~1 km upstream Rocky Mt. Run","Spring 2018",1,22,15,41.82,30,7.27,10.91,30.91,3.45,68.22,84.27,89.09,100,100,14.09,99.84,96.39,81.49,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BGR11353R110","1BBGR005.15",2018-10-01,"Big Run","Ptomac-Shenandoah","Northern Sedimentary and Metasedimentary Ridges (66b)","Riffle","~1 km upstream Rocky Mt. Run","Fall 2018",1,18,12,17.27,30.9,5.45,5.45,38.18,3.71,28.18,86.82,94.55,81.82,100,10.57,89.33,92.51,72.97,"Fall",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EKE11120R110","2-EKE000.39",2018-05-23,"East Fork Elk Creek","James River","Northern Sedimentary and Metasedimentary Ridges (66b)","Riffle","Rt. 759 behind Baptist Church","Spring 2018",1,14,9,43.64,20,7.27,31.82,54.55,4.25,71.18,56.18,68.18,63.64,81.82,14.09,65.69,84.49,63.16,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eke11497R110","2-EKE000.39",2018-10-04,"East Fork Elk Creek","James River","Northern Sedimentary and Metasedimentary Ridges (66b)","Riffle","Rt. 759 behind Baptist Church","Fall 2018",1,13,9,30.91,7.3,3.64,22.73,51.82,4.8,50.42,20.43,77.27,59.09,81.82,7.05,69.63,76.47,55.27,"Fall",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bar10306R110","1ABAR038.57",2015-09-14,"Back Creek","Potomac","Northern Shale Valleys (67b)","Riffle","0.73 RM u.s. Co. Rt. 608 bridge","Fall 2015",1,13,7,52.73,0.9,45.45,3.64,49.09,4.11,86.02,2.55,96.36,59.09,63.64,88.09,73.57,86.63,69.49,"Fall",2015,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bar9716R110","1ABAR052.96",2017-04-27,"Back Creek","Potomac River","Northern Shale Valleys (67b)","Riffle","adj. Co. Rt. 704","Spring 2017",1,19,13,15.45,36.4,8.18,38.18,53.64,3.84,25.21,100,61.82,86.36,100,15.86,67,90.64,68.36,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bar10259R110","1ABAR052.96",2017-09-14,"Back Creek","Potomac River","Northern Shale Valleys (67b)","Riffle","adj. Co. Rt. 704","Fall 2017",1,17,10,25.45,21.8,38.18,11.82,30,4.1,41.52,61.29,88.18,77.27,90.91,74,100,86.76,77.49,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISC11091R110","1AISC004.64",2018-05-15,"fishing creek","Potomac","Northern Shale Valleys (67b)","Riffle","0.4 miles upstream Faughts Lane","Spring 2018",1,16,9,17.27,10.9,8.18,50.91,58.18,4.95,28.18,30.64,49.09,72.73,81.82,15.86,60.43,74.2,51.62,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"isc11481R110","1AISC004.64",2018-10-10,"fishing creek","Potomac","Northern Shale Valleys (67b)","Riffle","0.4 miles upstream Faughts Lane","Fall 2018",1,11,4,36.36,8.2,27.27,3.64,57.27,4.62,59.32,22.98,96.36,50,36.36,52.85,61.74,79.14,57.35,"Fall",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"red9718R110","1ARED000.46",2017-05-16,"Redbud Run","Potomac River","Northern Shale Valleys (67b)","Riffle","Rt. 659","Spring 2017",1,8,3,28.18,0,0,60,77.27,5.57,45.97,0,40,36.36,27.27,0,32.84,65.11,30.94,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"red9719R110","1ARED000.46",2017-05-16,"Redbud Run","Potomac River","Northern Shale Valleys (67b)","Riffle","Rt. 659","Spring 2017",2,7,3,29.09,0,0,58.18,74.55,5.45,47.46,0,41.82,31.82,27.27,0,36.78,66.84,31.5,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"red10262R110","1ARED000.46",2017-11-15,"Redbud Run","Potomac River","Northern Shale Valleys (67b)","Riffle","Rt. 659","Fall 2017",1,8,5,30.91,8.2,0,6.36,80.91,5.12,50.42,22.98,93.64,36.36,45.45,0,27.59,71.79,43.53,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIG9129R110","1BBIG001.80",2016-11-15,"Big Run","Potomac-Shenandoah River","Northern Shale Valleys (67b)","Riffle","Rt. 615 bridge","Fall 2016",1,15,10,22.73,27.3,22.73,7.27,46.36,4.11,37.08,76.61,92.73,68.18,90.91,44.05,77.51,86.63,71.71,"Fall",2016,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
